# Iteration 0
Image 0:
-0.032463 -0.069745 0.799938
-0.444394 0.417916 -0.267115
0.202734 -0.001502 0.041438
1.476133 -0.012612 -0.233081
0.638508 -0.210427 0.922637
-0.430589 0.343876 -0.792895
0.019449 0.028571 0.020605
-0.047691 0.035809 0.105572
-0.043120 0.056189 -0.047368
0.111746 0.014380 0.041586
0.090267 -0.010971 -0.012509
-0.042925 -0.019371 -0.000442
-0.112819 0.004354 -0.005391
0.050584 -0.048716 0.078842
0.118723 0.614365 0.163017
-0.041339 0.012856 -0.169118
-0.027719 -0.102237 0.020158
0.035546 0.006855 -0.158407
-0.945744 0.255445 0.118515
-0.283989 -0.049700 0.056949
0.057715 0.012539 -0.057456
-0.405234 1.171587 1.640867
0.305669 -1.037654 -1.155938
0.171193 -0.093071 0.056679
-0.002110 0.014730 0.035961
0.021344 -0.052824 -0.041931
0.025253 0.018937 -0.056309
-0.110956 0.038566 -0.003049
-0.095410 -0.339797 -0.045689
0.183290 -0.267441 -0.295764
-0.046803 -0.007221 0.015369
0.139190 0.025348 -0.080458
-0.036670 -0.197709 0.097441
0.111207 -0.084003 -0.060594
-0.028415 -0.112054 0.049780
-0.110442 0.051285 -0.025110
0.061457 0.045739 0.032232
0.676015 1.004887 -0.663685
-0.631040 0.190521 0.125293
0.123972 0.076086 0.007863
0.044554 0.008330 0.073096
0.000358 -0.067061 -0.099753

Image 13:
0.038783 0.246321 0.027517
-0.009209 -0.102187 0.108786
0.225818 -0.746787 -0.128549
0.785089 -0.367704 -0.497820
-0.356641 -2.297765 0.485176
0.685018 -0.344672 -0.672606
-1.928264 0.336459 0.138163
-0.376651 1.960109 -0.788495
0.052490 0.111376 0.094758
0.209523 -0.001810 0.273365
-0.068086 -0.218984 1.117826
0.011323 0.250588 -0.437559
0.118832 0.035960 0.012989
1.556185 0.035481 -0.227714
0.496268 -0.204475 0.895415
-0.395345 0.338342 -0.737853
-0.016115 0.048402 0.033995
-0.048666 0.042482 0.107574
-0.043825 0.056971 -0.048492
0.110898 -0.000789 0.037412
0.088559 -0.020163 -0.011342
-0.044791 -0.022472 -0.003887
-0.116425 0.006815 -0.005697
0.055678 -0.047448 0.079945
0.119751 0.607529 0.139693
-0.041169 0.013878 -0.155894
-0.038316 -0.095991 0.025845
0.044062 0.013258 -0.160029
-0.920378 0.262207 0.131174
-0.336033 -0.035502 0.065637
0.090873 0.017675 -0.067413
-0.292416 1.310698 1.646677
0.228622 -1.174557 -1.246740
0.182509 -0.098925 0.028337
0.002743 0.025825 0.039964
0.021901 -0.053805 -0.039366
0.021403 0.021944 -0.058660
-0.114997 0.038681 -0.003069
-0.087966 -0.303977 -0.038983
0.172790 -0.173940 -0.300793
-0.040294 -0.030202 0.047008
0.124245 0.016654 -0.078214
-0.028583 -0.236280 0.132746
0.112313 -0.066969 -0.054451
-0.030938 -0.130761 0.049792
-0.113561 0.054555 -0.027714
0.065429 0.049899 0.035326
0.341189 0.729195 -0.121389
-0.639506 0.167701 0.141779
0.116294 0.075891 0.005550
0.015351 -0.037965 0.121097
-0.005763 -0.060767 -0.110818

Image 14:
0.061586 0.310119 0.043940
-0.021195 -0.093049 0.118014
0.317005 -0.615416 -0.190656
0.750317 -0.384307 -0.489730
-0.281283 -2.861906 0.123049
0.741467 0.108387 -0.787521
-2.053735 0.220175 0.101550
-0.408021 2.562676 -0.812165
0.035323 0.070013 0.080249
0.303011 -0.112031 0.234009
-0.101790 -0.339450 1.352232
0.396119 0.100082 -0.559931
0.043377 0.073353 -0.022980
1.611021 0.087089 -0.225887
0.372938 -0.210200 0.872863
-0.368993 0.342497 -0.701032
-0.049087 0.065270 0.047026
-0.050401 0.048189 0.108024
-0.045259 0.057154 -0.049407
0.110238 -0.014405 0.034099
0.079298 -0.032643 -0.005906
-0.044357 -0.025791 -0.008783
-0.119646 0.007162 -0.006257
0.061898 -0.045734 0.080329
0.111003 0.585035 0.109368
-0.040254 0.014637 -0.141235
-0.045476 -0.089571 0.031853
0.050331 0.022771 -0.155434
-0.887823 0.266473 0.139229
-0.380076 -0.024569 0.073478
0.124669 0.024185 -0.073726
-0.161090 1.362169 1.607185
0.135965 -1.272707 -1.296002
0.184346 -0.100291 0.000749
0.004625 0.037079 0.039407
0.023052 -0.053709 -0.035568
0.018181 0.024642 -0.060270
-0.118085 0.038424 -0.002798
-0.075575 -0.271247 -0.026905
0.151047 -0.078318 -0.307604
-0.026804 -0.047317 0.084171
0.115047 0.009157 -0.072773
-0.015706 -0.263251 0.165453
0.108226 -0.045039 -0.044056
-0.033292 -0.149331 0.048093
-0.114731 0.057354 -0.028903
0.069496 0.052013 0.036513
0.022398 0.505569 0.378057
-0.628993 0.139485 0.150422
0.105073 0.075324 0.002715
-0.030588 -0.082180 0.163506
-0.004799 -0.054024 -0.120055

Image 15:
0.076677 0.350101 0.056122
-0.032349 -0.084323 0.127813
0.403592 -0.480858 -0.257673
0.722877 -0.396798 -0.467492
-0.225487 -3.291230 -0.181458
0.812714 0.529116 -0.873594
-2.126973 0.098742 0.071944
-0.421347 3.034819 -0.784018
0.019149 0.036965 0.064340
0.386874 -0.203792 0.191626
-0.133901 -0.417049 1.492131
0.694893 -0.033883 -0.631610
-0.026646 0.109317 -0.063133
1.638070 0.137120 -0.222543
0.278020 -0.228883 0.858785
-0.352666 0.357890 -0.684759
-0.073878 0.079434 0.060327
-0.052459 0.052379 0.106784
-0.047100 0.057010 -0.050403
0.109218 -0.025220 0.031633
0.061118 -0.047207 0.002213
-0.042114 -0.028473 -0.013810
-0.120329 0.005470 -0.007318
0.068550 -0.043461 0.080000
0.094923 0.551942 0.074252
-0.039211 0.015340 -0.127931
-0.047990 -0.083506 0.037751
0.055076 0.033536 -0.147043
-0.855310 0.269763 0.143833
-0.409470 -0.015805 0.077771
0.151663 0.030846 -0.076131
-0.027875 1.288090 1.502108
0.043446 -1.283843 -1.265614
0.179836 -0.098484 -0.025295
0.005106 0.047169 0.035998
0.024669 -0.051572 -0.030833
0.015394 0.026347 -0.061165
-0.120268 0.037762 -0.002272
-0.057526 -0.243015 -0.010826
0.121427 0.009056 -0.325333
-0.007351 -0.058565 0.123359
0.106022 0.000881 -0.059752
-0.000460 -0.268633 0.191125
0.096391 -0.022287 -0.024911
-0.034272 -0.160499 0.042163
-0.110386 0.057441 -0.027807
0.070601 0.050087 0.032252
-0.261857 0.285551 0.795094
-0.614987 0.108907 0.150090
0.091042 0.074846 -0.000473
-0.087200 -0.121352 0.199103
0.002065 -0.047192 -0.125416

Image 16:
0.079723 0.362439 0.063769
-0.041003 -0.076944 0.134921
0.472443 -0.349064 -0.328966
0.708579 -0.405315 -0.433047
-0.186886 -3.501105 -0.392575
0.891531 0.867357 -0.917379
-2.128030 -0.015191 0.059524
-0.413748 3.283368 -0.699163
